,cum_rewards
303,-307.6610179814674
304,-307.843765565406
305,-307.8253238276912
306,-306.6678360686913
307,-307.67540549548596
308,-307.21610772763466
309,-308.2107155160128
310,-306.9770590492967
311,-306.96186239189643
312,-307.2256406823913
313,-306.4262081501667
314,-307.27626566201144
315,-308.1014407875826
316,-306.97798667230967
317,-306.79374581641736
318,-306.66214667402687
319,-307.7525026459947
320,-306.99124517619055
321,-307.5887025659709
322,-307.2250442141713
323,-307.57690521937553
324,-307.79922124188806
325,-307.39639414604545
326,-307.18288014749777
327,-306.74560778023806
328,-307.33468721234595
329,-307.43264203314936
330,-307.081650779871
331,-306.32217442207156
332,-306.77111722468646
333,-307.2390171960021
334,-307.1094165038969
335,-307.10914467637195
336,-308.2232038530249
337,-307.82092965925676
338,-308.062193853575
339,-306.734820668275
340,-307.6706930625974
341,-307.1530941669611
342,-307.1089126947349
343,-308.00151587079927
344,-307.6729936740829
345,-307.9041781542599
346,-308.21754891450263
347,-307.0369526253132
348,-307.8221227172741
349,-308.3440622452291
350,-307.8793478051642
351,-307.9680877242668
352,-306.92996980496946
353,-306.34263656229365
354,-307.82338587966285
355,-307.29983970940486
356,-307.86724913384984
357,-307.3027028671942
358,-307.98619702979084
359,-308.39309738238546
360,-306.7864017121443
361,-306.8739584987852
362,-307.0338043333298
363,-308.38419950721055
364,-307.28956157382737
365,-307.372491290405
366,-307.34125930179096
367,-307.19545451861325
368,-306.724563923676
369,-307.3739657711347
370,-307.40496920661855
371,-306.5700134241897
372,-307.04214408717854
373,-306.8413463448652
374,-307.3157505824323
375,-306.94570384914624
376,-307.0689428942003
377,-307.0410602338565
378,-306.72975652433144
379,-307.6894716719292
380,-307.0718237110728
381,-307.21834290273574
382,-308.1027402958312
383,-307.5554428787993
384,-307.59032035721185
385,-307.039169967389
386,-307.4625675902337
387,-307.48119274826365
388,-307.57903962758223
389,-306.85553823030654
390,-307.86189299151584
391,-307.7320441646742
392,-307.10070523373116
393,-307.1532199630809
394,-307.11073530931054
395,-308.30893564674756
396,-307.4588479754785
397,-306.93190834017554
398,-307.51920155212525
399,-308.2788580519672
400,-307.9054111308527
401,-307.27920516085703
402,-307.98156290359793
403,-307.1361916592042
404,-308.235156176773
405,-307.1622470048227
406,-306.7321936887615
407,-307.4104574010363
408,-307.68366617197387
409,-306.65127800998647
410,-308.0364669465258
411,-308.11091531193586
412,-306.90402587843477
413,-307.16987579313127
414,-307.09271378661094
415,-307.85946657655074
416,-307.46494069811683
417,-308.07274123519767
418,-308.0495201400229
419,-307.0226240834489
420,-306.9351852611414
421,-306.4511453682918
422,-306.6134930076176
423,-307.83961139721333
424,-307.1349991157533
425,-307.956772059719
426,-307.7477217275743
427,-307.7164014420401
428,-307.9016792689425
429,-306.96858777586885
430,-307.613872634021
431,-307.85742365189304
432,-307.9631083743542
433,-307.7810256225607
434,-307.55996529885044
435,-307.6196585164246
436,-307.21673931344264
437,-307.35882274853
438,-306.9526589447659
439,-306.9730800098854
440,-306.59688400398556
441,-307.78700343879615
442,-307.34713147472166
443,-307.0884728006476
444,-307.3506558816586
445,-307.66049760523407
446,-306.820139525035
447,-306.40218067225175
448,-306.5961541044827
449,-308.27721015039316
450,-306.6893372830091
451,-307.0446873363099
452,-308.10264370269357
453,-307.1698078412861
454,-308.16872192470987
455,-306.73881073080594
456,-307.6085893234984
457,-307.26042810158003
458,-307.8710556305979
459,-307.815280122412
460,-307.50011026829776
461,-307.23086273944324
462,-307.714101266552
463,-306.5496358936206
464,-308.13427448744596
465,-308.03065540424774
466,-306.2042544525052
467,-307.1973433066606
468,-307.50361714901305
469,-307.5111253794878
470,-307.5130396857249
471,-308.20725580348625
472,-306.76579595168675
473,-306.4289539973432
474,-307.37447958347485
475,-307.2670190110348
476,-306.9870118824354
477,-306.93737782829083
478,-308.05890607275495
479,-306.70153130880084
480,-306.84168901229197
481,-307.3559157650256
482,-306.7399994484631
483,-307.4054862663029
484,-307.3344473482421
485,-306.86394262855174
486,-306.8959774338514
487,-308.41159659011396
488,-306.3923314805715
489,-307.3281737874981
490,-307.79002876685115
491,-306.4146147120684
492,-307.1853607903215
493,-307.32728728468516
494,-307.8457859333848
