,sell_money
116,1552016616.5131426
117,1607317796.78292
118,1551963815.6509314
119,1551586228.3498354
120,1551709831.779623
121,1607353494.7205484
122,1551974275.3821292
123,1496384883.904356
124,1607309240.5426378
125,1607430333.106156
126,1607013678.1831677
127,1662941141.7555478
128,1551631411.1496792
129,1607159426.4648123
130,1552384408.094755
131,1607346946.522282
132,1607675013.3433893
133,1607389566.8951454
134,1496068298.7508576
135,1551871954.4435925
136,1551568668.2635992
137,1662762561.7060463
138,1552194253.8985984
139,1551873375.4561603
140,1662804181.5977588
141,1607517765.6832397
142,1552039894.8910635
143,1606996816.9818473
144,1607215971.9277008
145,1607332465.969549
146,1551610464.110263
147,1663260915.2570584
148,1607593538.3985348
149,1607293547.5388842
150,1663000108.3812392
151,1607454802.3679872
152,1607394086.984613
153,1662902538.6322708
154,1607304112.8982015
155,1551479384.6269932
156,1551991305.1504848
157,1662844444.7339811
158,1663194603.6173506
159,1551445507.8908036
160,1607582711.1181152
161,1551555316.0597305
162,1496645183.399084
163,1552020202.0057755
164,1607147450.7420447
165,1551407348.7687948
166,1551544438.735077
167,1496741697.4714696
168,1607371654.834562
169,1496725667.9983761
170,1607212432.4793334
171,1607205737.4815466
172,1607070638.9478793
173,1552041109.6845167
174,1607068054.543039
175,1551774317.3391516
176,1607589403.5146482
177,1662893130.4930763
178,1608025683.9938474
179,1662928373.57432
180,1551415498.43879
181,1552370799.5371747
182,1607173008.1988437
183,1552068327.27358
184,1607352201.3821585
185,1662678083.7569745
186,1607888767.8074217
187,1551884273.89025
188,1607409522.6101687
189,1607514334.6994188
190,1496311185.7550092
191,1607303389.2378423
192,1607337696.4194028
193,1496779935.2136858
194,1607323213.498121
195,1607196549.4418478
196,1551951358.9644854
197,1663041140.0079222
198,1607631980.236758
199,1662649823.814192
200,1607626506.8480902
201,1662739217.0622928
202,1552053653.6425474
203,1551643972.568738
204,1552140263.1552308
205,1662773843.5179844
206,1551910005.7119815
207,1607927613.8968604
208,1663098213.586313
209,1551658089.5050173
210,1551838704.25206
211,1607374258.9028742
212,1496557739.9047577
213,1607678776.9276934
214,1496631979.9131343
215,1606993145.116469
216,1551797244.601351
217,1552221179.6426513
218,1607259168.5906312
219,1552141509.1385663
220,1552288132.4023473
221,1551790465.3784637
222,1607320778.8325365
223,1607542585.815173
224,1663153034.0154095
225,1552092204.8349428
226,1496335001.353029
227,1551695447.319539
228,1552196289.4035695
229,1551756064.9016707
230,1552110060.476202
231,1607308285.1818504
232,1607263485.9854274
233,1662787296.9191892
234,1607197009.2470765
235,1551948142.931297
236,1496355092.0349846
237,1551538275.1679318
238,1552052952.1179693
239,1551936262.3905869
240,1551780942.0958238
241,1662782205.9206915
242,1551837856.3555079
243,1663261803.9983616
244,1607549672.0456364
245,1551849167.0659506
246,1551788156.0232542
247,1551321117.5172656
248,1552137349.3146095
249,1496530901.8998964
250,1607170760.3175707
251,1607933498.8183095
252,1496178343.7117147
253,1551631999.0776334
254,1662968145.2388573
255,1607137614.0950644
256,1607399765.8220997
257,1551385341.7348323
258,1607199695.938565
259,1551813118.1708088
260,1607161969.006741
261,1607750440.5252101
262,1607224494.248625
263,1607556103.6519413
264,1662699233.6627197
265,1662914999.9469924
266,1607566405.04235
267,1551417311.994672
268,1496853475.41901
269,1551592491.879892
270,1551735246.3405447
271,1496524071.417606
272,1552251238.25592
273,1552247864.0438073
274,1551533692.1941607
275,1607378695.0950162
276,1607243850.9078906
277,1551936488.68707
278,1551977540.7401042
279,1607774875.9362187
280,1606982448.6876225
281,1551471297.7143838
282,1551777602.2234085
283,1607564265.299355
284,1551788986.1944888
285,1496381816.6632423
286,1552262591.278846
287,1607196746.3564365
288,1552151972.6747005
289,1663089983.1703532
290,1551860667.155423
291,1607589972.394766
292,1606930709.6595407
293,1552032144.674141
294,1607296452.5944345
295,1607341980.7104893
296,1551899261.0662954
297,1607350092.6735094
298,1551497575.5719411
299,1662907391.663186
300,1607354725.591212
301,1551249345.715081
302,1607241002.238665
303,1552287797.5582285
304,1607126923.7755697
305,1607433117.9208934
306,1552299877.5907416
307,1551816380.2111235
308,1607605281.5135446
309,1607079263.5998645
310,1551768781.163198
311,1552152412.0392494
312,1552269355.571668
313,1607461685.1706553
314,1551692267.4098425
315,1551549915.5636244
316,1607281656.107184
317,1552078821.7145457
318,1607598789.884948
319,1663030539.629731
320,1551908061.9402568
321,1551796729.8704035
322,1551841893.567843
323,1552206763.6770191
324,1552190148.236803
