,cum_rewards
571,-307.48140757114203
572,-307.3862514901655
573,-307.2357698351251
574,-307.4460239339064
575,-308.32493470101474
576,-307.01241843429284
577,-307.52895122624295
578,-306.8731259117787
579,-307.2317387373765
580,-307.538163514501
581,-307.27003512480735
582,-308.2492280566516
583,-307.3300297184319
584,-307.5724309741292
585,-307.6491592214856
586,-307.76888389150497
587,-307.0962410715485
588,-307.999653578928
589,-307.1704980464089
590,-306.81586884800186
591,-307.5135073493914
592,-307.3241942759242
593,-307.74955459033373
594,-307.8789751090432
595,-307.45301164911683
596,-306.1998345866447
597,-307.7362680194501
598,-307.0437495233513
599,-306.91854817368335
600,-308.3459998558448
601,-307.7445185340066
602,-306.39346449102584
603,-307.56146745236947
604,-307.4370658962811
605,-306.52157039188825
606,-308.1298717899654
607,-307.1463728031472
608,-307.44127129232146
609,-307.5152406452181
610,-307.40456400348637
611,-307.58333676728546
612,-307.35376017406276
613,-307.1631276736349
614,-307.58039110932833
615,-306.62357617215326
616,-307.26024324651166
617,-307.18315356051204
618,-307.08682868979673
619,-307.8285453731695
620,-307.66289882007254
621,-307.8166292825744
622,-307.7158261562647
623,-306.6541246158753
624,-308.1846663491873
625,-307.5772785018106
626,-307.7695871363576
627,-308.41223219583264
628,-307.0138724705385
629,-308.46608207381576
630,-306.86308908784065
631,-307.35735017553765
632,-308.2704911511679
633,-307.0117681327427
634,-307.56923774659776
635,-306.74588053949157
636,-306.69452258730695
637,-308.21650595404503
638,-306.9460183258759
639,-307.83672730603763
640,-307.29970694261067
641,-307.77675180089875
642,-307.50106630257596
643,-307.8409203219773
644,-307.66901273917694
645,-308.1943210530466
646,-307.82962498828465
647,-306.8302284666802
648,-306.45562838185384
649,-307.4151817315845
650,-307.4833728841924
651,-306.98027859963184
652,-307.6849670909244
653,-308.01099668483994
654,-306.49882239263053
655,-307.4066942943252
656,-307.69995370964466
657,-307.1112780493554
658,-307.3469088947937
659,-307.2628577212035
660,-307.6206572133777
661,-306.8285044028858
662,-306.88869853319403
663,-307.3808497704477
664,-307.3092927511697
665,-307.2947093014295
666,-306.66710886693954
667,-306.64116630267125
668,-307.2689991312457
669,-306.81090280926594
670,-307.21211885338386
671,-308.02508696357563
672,-308.1821882474306
673,-306.37342323514736
674,-306.93828498229215
675,-307.02195687120275
676,-307.1513581212748
677,-307.8917870858929
678,-306.90981161152274
679,-307.4911984748882
680,-307.0359396031419
681,-308.7447829745495
682,-307.6223622628457
683,-306.5782190009434
684,-307.10137026783514
685,-306.4473345400451
686,-307.807963249757
687,-307.81296130662
688,-306.68028292158226
689,-307.7517585086977
690,-307.934901747031
691,-306.6957145322737
692,-306.9941547090405
693,-306.80258588206704
694,-307.5436079268568
695,-306.83004152840437
696,-306.58557276583537
697,-306.8931298493389
698,-307.0887622372303
699,-306.3211095244677
700,-307.6711719198455
701,-306.79202943579827
702,-306.30389564124073
703,-307.46742588485483
704,-307.35983165038874
705,-307.5173303874058
706,-307.2478922566534
707,-306.5525370507528
708,-306.47900701838506
709,-307.8687033485189
710,-307.8505505062047
711,-307.77935712411994
712,-306.2799428037268
713,-306.7861279455146
714,-307.1009139102402
715,-306.9961833213271
716,-307.2267518918835
717,-306.26498711102795
718,-307.88733176886115
719,-308.04961497667875
720,-307.040167276897
721,-307.10000037951073
722,-307.8336326600229
723,-307.0423714476412
724,-306.43658295514484
725,-307.72563383811865
726,-307.1755412161038
727,-306.9795240364527
728,-307.5920366304165
729,-307.8901470541326
730,-307.2802582817468
731,-308.1255024843025
732,-308.0573199410072
733,-306.8456358308869
734,-307.8183268974316
735,-307.86219468236027
736,-306.6597826255904
737,-306.26870091152915
738,-308.20729033931
739,-307.5516801154989
740,-306.9397435551345
741,-306.887693229159
742,-307.73931295182774
743,-306.58666272196456
744,-307.06025395532754
745,-307.5836838642451
746,-307.62279154766344
747,-307.1306374652703
748,-306.70192113060585
749,-307.5547010098013
750,-306.8571751527721
751,-307.7551781448083
752,-306.81187986452784
753,-307.8035644540647
754,-306.7903501571479
755,-308.0616533715531
756,-306.76479599497173
757,-307.84115080444593
758,-306.9275659206307
759,-306.8649593603106
760,-306.7486816548156
761,-308.1449489839832
762,-307.6027148936811
763,-307.25483746363517
764,-307.5950804782552
765,-307.39148967062397
766,-307.4337650570331
767,-307.7338990783133
768,-306.71215488199755
769,-306.7217072943844
770,-307.1003540672323
771,-307.6655469815206
772,-307.55963252351177
773,-307.61017684987314
774,-307.78109257475944
775,-307.69373028506845
776,-307.08494333583485
777,-307.7159240025578
778,-307.94979886295675
779,-307.1545831522031
780,-306.8830845613527
781,-308.20348889856643
782,-307.90545485115683
783,-307.72257674309424
784,-306.6703161211071
785,-307.4581604047684
786,-306.8948568095194
787,-306.94971352208296
788,-306.8453154454154
789,-307.45962361382266
790,-307.6101734851665
791,-306.692481236383
792,-307.38975383264625
793,-307.73447194926456
794,-307.51535459700364
795,-307.2046631231426
796,-306.10200966794514
797,-307.26749443455435
798,-307.84058219758293
799,-306.79935388958876
800,-306.9899469794765
801,-306.44931670108997
802,-306.56928036920726
803,-308.2069384819504
804,-308.69059602802434
805,-307.80017701523843
806,-306.99975074763427
807,-306.57730844602855
808,-307.7699078477893
809,-307.3110990916937
810,-307.83856305644343
811,-307.3632999532227
812,-307.4081771094536
813,-307.52253343421347
814,-306.53803855518487
815,-307.0182658514161
816,-308.35976384050883
817,-307.3810012426304
818,-307.8541158583451
819,-306.60298703399377
820,-307.61516316877606
821,-307.39576927561933
822,-306.6999229824521
823,-306.20276844665676
824,-307.39184011365984
825,-306.9046099705663
826,-306.9625160999684
827,-306.66139588049464
828,-307.57478802122887
829,-307.0835287886809
830,-307.5619343616596
831,-307.0972801395263
832,-307.0424361671385
833,-307.1705466006641
834,-306.14862790136397
835,-307.2927295470372
836,-307.4422279712764
837,-306.8277398198595
838,-306.9656521549109
839,-307.6656298144459
840,-307.30573171057506
841,-306.6675353023133
842,-308.3787686673357
843,-306.7663907071128
844,-307.6686509691053
845,-307.6855961376999
846,-307.5600192538305
847,-306.87231167198036
848,-306.35399267459917
849,-307.17962272728545
850,-307.7943787780779
851,-307.84657368641695
852,-307.27803516495993
853,-307.77723626926274
854,-307.14943399473543
855,-307.26613886767035
856,-307.2776096386631
857,-306.7362469082101
858,-307.3566755603331
859,-307.3910068064967
860,-307.5459129185193
861,-307.3300241467936
862,-306.92865124236926
863,-307.6772001385501
864,-308.2557161118988
865,-307.57349299383327
866,-307.1412485071764
867,-306.3372741094224
868,-307.44512420963247
869,-306.9199551173801
870,-306.84778762060324
871,-307.39561052054455
872,-308.0845452073789
873,-307.2664652543753
874,-307.1113762488703
875,-307.68523110459495
876,-308.0673469999855
877,-307.97310720034636
878,-307.51295311893625
879,-307.51881587677394
880,-306.9483892153041
881,-307.5499164876343
882,-307.6380918183584
883,-308.41783452319925
884,-308.00509675747975
885,-306.59810976268807
886,-307.7909919320735
887,-308.5036807417602
888,-307.34399798485197
889,-306.1761602639645
890,-308.019920025965
891,-307.06375730586683
892,-306.1838253278375
893,-307.245518434669
894,-307.56439505376824
895,-306.8795025807279
896,-307.05316005194874
897,-307.45416217760334
898,-307.85831012200623
899,-307.5313645657602
900,-307.71993513743223
901,-307.2568443724668
902,-306.8416454677973
903,-307.2657603645336
904,-307.54762684758293
905,-306.76625608674664
906,-306.9824604608749
907,-306.5937076086507
908,-307.12186800737413
909,-307.15761293648
910,-306.92661796613686
911,-306.29762492417785
912,-306.9401800247919
913,-306.4184795092728
914,-307.65888285002444
915,-306.9796906622398
916,-306.9397571882359
917,-307.02099499727206
918,-307.0527271140423
919,-307.65126676942543
920,-308.3161865448406
921,-307.925953228122
922,-306.86820561249243
923,-307.0706017558965
924,-307.6623482269573
925,-307.2540590182125
926,-306.8574179157919
927,-307.20384886193887
928,-308.1359844645149
929,-307.11123274456867
930,-308.07220872402496
931,-307.455500884836
932,-307.3699947240867
933,-308.10639015970395
934,-306.98472259823103
935,-307.01472907264827
936,-307.0699891789822
937,-308.0306473321279
938,-306.6216987430605
939,-307.8183503871873
940,-307.0948173154808
941,-308.1780002635815
942,-307.52580198906304
943,-307.91259402992426
944,-306.59607602200987
945,-306.9760969112621
946,-307.96884502475194
947,-307.2329045238781
948,-307.35239428770103
949,-307.23313765469226
950,-307.1790274122484
951,-307.75665142462765
952,-307.25270261116515
953,-308.18222487942467
954,-306.47228324686574
955,-307.54319778781394
956,-306.51368928222627
957,-307.0255095261432
958,-307.2511136801752
959,-307.26153594820784
960,-308.3316123498562
961,-307.5785757095864
962,-307.505496030787
963,-307.8982444996009
964,-307.9599042829315
965,-306.8659631784904
966,-308.42440285717646
967,-306.2754617511978
968,-307.2391253123448
969,-307.8740437477099
970,-307.00021049253127
971,-306.9887321481315
972,-306.6551143911424
973,-307.7173434447718
974,-306.5684415041828
975,-307.1283955979427
976,-307.4721998515285
977,-307.66538556130587
978,-307.45400248186695
979,-306.5504649698357
980,-307.9505057077302
981,-306.8219381170843
982,-307.7665245287862
983,-308.32121571677783
984,-307.0288641012936
985,-308.2222564864737
986,-307.91544958729804
987,-307.56279258464014
988,-307.8177088013383
989,-307.65850385958316
990,-307.8651648721174
991,-306.8504909018752
992,-307.36995947020426
993,-307.62795576002765
994,-307.34418105863904
995,-306.47217295440106
996,-308.04315967352795
997,-308.23059323971637
998,-306.148306039936
999,-306.2712283990968
1000,-306.7681107725026
1001,-306.9892834522981
1002,-307.45934440399424
1003,-307.1164136974743
1004,-307.427865646219
1005,-307.7866174346859
1006,-307.584822610305
1007,-306.55117655959987
1008,-307.1188635996844
1009,-307.7507886796712
1010,-307.0572097192617
1011,-307.73710011575776
1012,-307.3596696401136
1013,-306.79421764318477
1014,-307.91235308039
1015,-307.56040103027306
1016,-307.7469469589594
1017,-306.77523725837807
1018,-307.3604430054682
1019,-307.9717820731003
1020,-307.9388061029097
1021,-307.3534620738718
1022,-307.8442393538004
1023,-307.70801780725947
1024,-307.10809159450594
1025,-307.5965047156533
1026,-307.1222034243585
1027,-307.7737125696196
1028,-307.9529007868814
1029,-307.64524886522764
1030,-307.78476581999956
1031,-306.9684150741821
1032,-307.51903768825474
1033,-306.79172610595
1034,-307.4151917481695
1035,-307.8057404573959
1036,-306.81540281811516
1037,-307.3999396414188
1038,-307.15027937003
1039,-307.488527614519
1040,-307.31509363731834
1041,-307.98412015375015
1042,-307.1564596558134
1043,-307.1268323710665
1044,-307.3868499938543
1045,-306.97707320926054
1046,-307.86116218696395
1047,-307.2979105125103
1048,-306.28805273064154
1049,-306.4561989954563
1050,-307.37134098585307
1051,-307.93514374771337
1052,-306.3051214815386
1053,-307.4769609530609
1054,-307.88521755102613
1055,-307.27862506789506
1056,-307.4090396293182
1057,-308.06167763759123
1058,-306.94407695015224
1059,-307.59972928033375
1060,-307.1604158213096
1061,-307.907341853249
1062,-307.7400751499929
1063,-306.93535423774745
1064,-307.1393283373546
1065,-306.92754274806015
1066,-307.4841651108101
1067,-307.2866838424049
1068,-306.7512549581264
1069,-307.7622353732532
1070,-308.24388070935385
1071,-308.05288306605405
1072,-307.64158387004215
1073,-307.4121502667493
1074,-307.9779495984621
1075,-306.3491240140513
1076,-307.88988283162183
1077,-307.555569863699
1078,-307.7374951466117
1079,-307.03859515145547
1080,-306.72843793726844
1081,-306.28242308177545
1082,-307.7741939587496
1083,-306.73457322293643
1084,-308.1171642117724
1085,-307.5757788800491
1086,-306.26330185428486
1087,-307.5426097744621
1088,-307.03541873980885
1089,-307.2924329146481
1090,-307.3793968016167
1091,-307.20283210306843
1092,-307.4886151322743
1093,-307.99344775577623
1094,-306.88645025483225
1095,-308.0023011416918
1096,-306.51956956801604
1097,-307.2623050992492
1098,-308.22624616740427
1099,-307.6364932312943
1100,-307.11608698550344
1101,-306.4397083124605
1102,-306.70126461323997
1103,-307.9443937182734
1104,-307.77200729280656
1105,-307.30462271293146
1106,-306.3178099026875
1107,-307.3589520228502
1108,-306.94009655023376
1109,-307.93576191845517
1110,-307.70471584211367
1111,-308.41159094394214
1112,-307.33709268124875
1113,-307.88851972731914
1114,-307.8640655438402
1115,-306.7465638039765
1116,-307.07280067623094
1117,-307.1702452362814
1118,-307.87122605611285
1119,-307.1834397208937
1120,-307.5082387449188
1121,-308.3458057899645
1122,-308.558680333242
1123,-307.4607243610513
1124,-306.99541496803255
1125,-307.02619966173216
1126,-306.69239534736204
1127,-307.3955510058618
1128,-307.56451880944286
1129,-306.67231694240206
1130,-307.11984424160164
1131,-307.11163227660734
1132,-307.31681680856815
1133,-307.66142981163927
1134,-306.43086943402153
1135,-307.4309237515514
1136,-306.72805744404207
1137,-306.9837345516389
1138,-308.02771535493054
1139,-306.7802494075222
1140,-307.1729361930114
1141,-306.84075582600053
1142,-307.79966343965697
1143,-307.4817518088901
1144,-307.7751120892592
1145,-307.6972574970263
1146,-308.1884669131778
1147,-307.6716956658946
1148,-307.61956230002335
1149,-307.3981526135323
1150,-307.19075781265826
1151,-307.02504867650106
1152,-306.5604843949859
1153,-307.6810631317741
1154,-307.07634358587086
1155,-307.6168605819303
1156,-307.033164779653
1157,-307.8954541956455
1158,-306.97219492980093
1159,-307.71347002231505
1160,-307.0863543247237
1161,-307.41146175476274
1162,-306.5686597128714
1163,-306.84825808101436
1164,-306.90743792735424
1165,-307.11948287912946
1166,-306.9978317087646
1167,-306.5228340780172
1168,-307.15291336620135
1169,-307.3022816493391
1170,-307.85829737799145
1171,-307.2072379984506
1172,-306.4273163242606
1173,-307.08720078987164
1174,-307.3103834484533
1175,-307.11227537678946
1176,-307.50836630387437
1177,-307.43349311255974
1178,-307.6388405095587
1179,-307.00435753097463
1180,-307.9511437166394
1181,-307.81290835483685
1182,-307.4445464613073
1183,-307.83897500474745
1184,-307.03433864892537
1185,-307.19632763653226
1186,-306.2019010541316
1187,-307.9595835934976
1188,-307.063064458031
1189,-307.8402285651265
1190,-306.81218258435274
1191,-306.6749230637424
1192,-306.6621444911217
1193,-307.4583351494244
1194,-306.8773791063924
1195,-306.93660411468255
1196,-307.5569448619182
1197,-307.36731020784407
1198,-307.71080383464266
1199,-307.7092993689274
1200,-306.7846115527006
1201,-307.25261429398716
1202,-307.1640630793362
1203,-307.2723979307867
1204,-306.69103571723696
1205,-307.0422315134347
1206,-306.56355478081815
1207,-306.78779028995365
1208,-307.56195810767355
1209,-307.2894709859952
1210,-307.66535268740154
1211,-308.2092680231355
1212,-308.29388462720715
1213,-307.50266753207455
1214,-307.95912417117916
1215,-307.11955500961625
1216,-306.4692728541854
1217,-307.47831828573277
1218,-307.05482000999893
1219,-308.0249184738919
1220,-307.4294098677616
1221,-306.93089677148015
1222,-307.98189412795017
1223,-307.23440658939126
1224,-307.6412712696442
1225,-307.59774964086256
1226,-307.2106042862491
1227,-307.6821551793801
1228,-306.78874979156
1229,-307.35186580349585
1230,-306.68247151566004
1231,-307.5117218721647
1232,-308.4003651878179
1233,-307.23221022405033
1234,-307.6628433867992
1235,-307.1714137665028
1236,-307.64507631044125
1237,-307.94610706747636
1238,-307.97429074240404
1239,-306.63634660502413
1240,-307.08174367836915
1241,-307.3769421837935
1242,-306.78267035455127
1243,-307.6650153669247
1244,-308.384895649002
1245,-307.0788940218599
1246,-307.7127472864368
1247,-308.0824814274279
1248,-307.5080602943349
1249,-307.40876158162223
1250,-307.95819830479337
1251,-307.5491753229789
1252,-307.5120615992872
